Record_Type,LF_site_num,LF_Type,locid,faa_Region,county,county_state,city,facility_name,facility_ownership,facility_use,latitude_degrees,longitude_degrees,elevation_ft_msl,status,ArptLocation
APT,00134.*H,HELIPORT,90KY,ASO,PIKE,KY,ASHCAMP,MOTHER NATURE SPRING WATER,PR,PR,37.25861111,-82.46138889,0.0,Open,POINT(-82.46138889 37.25861111)
APT,00135.*A,AIRPORT,26A,ASO,CLAY,AL,ASHLAND/LINEVILLE,ASHLAND/LINEVILLE,PU,PU,33.28419722,-85.80896528,65.0,Open,POINT(-85.80896528 33.28419722)
APT,00135.01*H,HELIPORT,0AL2,ASO,CLAY,AL,ASHLAND,CLAY COUNTY HOSPITAL,PU,PR,33.27721667,-85.82481944,40.0,Open,POINT(-85.82481944 33.27721667)
APT,00137.*A,AIRPORT,AL60,ASO,ST CLAIR,AL,ASHVILLE,DUGGER'S FLD,PR,PR,33.83870972,-86.21136528,560.0,Open,POINT(-86.21136528 33.83870972)
APT,00139.*H,HELIPORT,5AL9,ASO,AUTAUGA,AL,ATHENS,ATHENS-LIMESTONE HOSPITAL HELIPAD,PR,PR,34.80281667,-86.98060556,693.0,Open,POINT(-86.98060556 34.80281667)
APT,00140.1*A,AIRPORT,0R1,ASO,ESCAMBIA,AL,ATMORE,ATMORE MUNI,PU,PU,31.01613889,-87.44675,286.0,Open,POINT(-87.44675 31.01613889)
APT,00146.*A,AIRPORT,AUO,ASO,LEE,AL,AUBURN,AUBURN UNIVERSITY RGNL,PU,PU,32.61511111,-85.434,776.8,Open,POINT(-85.434 32.61511111)
APT,00155.*A,AIRPORT,1R8,ASO,BALDWIN,AL,BAY MINETTE,BAY MINETTE MUNI,PU,PU,30.87033333,-87.81933333,248.1,Open,POINT(-87.81933333 30.87033333)
APT,00155.03*H,HELIPORT,6AL9,ASO,BALDWIN,AL,BAY MINETTE,MEGA SITE HELIPAD,PR,PR,30.94861111,-87.74555556,284.0,Open,POINT(-87.74555556 30.94861111)
APT,00155.31*A,AIRPORT,5R7,ASO,MOBILE,AL,BAYOU LA BATRE,ROY E RAY,PR,PU,30.45525,-88.21119444,87.0,Open,POINT(-88.21119444 30.45525)
APT,00155.32*H,HELIPORT,AL67,ASO,MOBILE,AL,THEODORE,PETROLEUM HELICOPTERS INC,PR,PR,30.43111111,-88.17916667,32.9,Open,POINT(-88.17916667 30.43111111)
APT,00157.1*A,AIRPORT,EKY,ASO,JEFFERSON,AL,BESSEMER,BESSEMER,PU,PU,33.31261111,-86.92630556,699.6,Open,POINT(-86.92630556 33.31261111)
APT,00157.11*H,HELIPORT,AL19,ASO,JEFFERSON,AL,BESSEMER,MEDICAL WEST,PR,PR,33.37155833,-86.99100556,670.0,Open,POINT(-86.99100556 33.37155833)
APT,00164.*A,AIRPORT,BHM,ASO,JEFFERSON,AL,BIRMINGHAM,BIRMINGHAM-SHUTTLESWORTH INTL,PU,PU,33.56388889,-86.75230556,650.0,Open,POINT(-86.75230556 33.56388889)
APT,00164.05*H,HELIPORT,AL50,ASO,JEFFERSON,AL,BIRMINGHAM,BAPTIST MEDICAL CENTER-PRINCETON,PR,PR,33.49760583,-86.84637944,557.0,Open,POINT(-86.84637944 33.49760583)
APT,00164.06*H,HELIPORT,AL49,ASO,JEFFERSON,AL,BIRMINGHAM,CARRAWAY MEDICAL CENTER,PR,PR,33.53578333,-86.81140556,672.0,Open,POINT(-86.81140556 33.53578333)
APT,00164.07*H,HELIPORT,AL91,ASO,JEFFERSON,AL,BIRMINGHAM,THE CHILDREN'S HOSPITAL,PR,PR,33.50427194,-86.8052675,698.0,Open,POINT(-86.8052675 33.50427194)
APT,00164.08*H,HELIPORT,AL21,ASO,JEFFERSON,AL,BIRMINGHAM,LAKESIDE,PR,PR,33.51204917,-86.67748694,645.0,Open,POINT(-86.67748694 33.51204917)
APT,00164.11*H,HELIPORT,AL38,ASO,JEFFERSON,AL,BIRMINGHAM,UNIVERSITY OF ALABAMA HOSPITAL,PR,PR,33.50586111,-86.80277778,787.0,Open,POINT(-86.80277778 33.50586111)
APT,00164.12*H,HELIPORT,0AL8,ASO,JEFFERSON,AL,BIRMINGHAM,BROOKWOOD MEDICAL CENTER,PR,PR,33.46407222,-86.77286944,763.0,Open,POINT(-86.77286944 33.46407222)
APT,00164.16*H,HELIPORT,AL45,ASO,JEFFERSON,AL,BIRMINGHAM,GRANDVIEW MEDICAL CENTER,PR,PR,33.432875,-86.71609444,540.0,Open,POINT(-86.71609444 33.432875)
APT,00164.18*H,HELIPORT,AL66,ASO,JEFFERSON,AL,BIRMINGHAM,ALABAMA POWER HEADQUARTERS,PR,PR,33.51954972,-86.81360111,676.0,Open,POINT(-86.81360111 33.51954972)
APT,00164.19*H,HELIPORT,AL65,ASO,JEFFERSON,AL,BIRMINGHAM,ST VINCENTS EAST,PR,PR,33.59697222,-86.66780833,70.0,Open,POINT(-86.66780833 33.59697222)
APT,00164.21*H,HELIPORT,9AL9,ASO,JEFFERSON,AL,BIRMINGHAM,LIBERTY PARK,PR,PR,33.47866667,-86.702,620.0,Open,POINT(-86.702 33.47866667)
APT,00164.9*A,AIRPORT,AL40,ASO,JEFFERSON,AL,BIRMINGHAM,BONHAM,PR,PR,33.54316194,-86.98582778,600.0,Closed Indefinitely,POINT(-86.98582778 33.54316194)
APT,00170.*A,AIRPORT,AL29,ASO,CULLMAN,AL,BLOUNTSVILLE,NEW HORIZON,PR,PR,34.12926389,-86.63332667,750.0,Open,POINT(-86.63332667 34.12926389)
APT,00174.*H,HELIPORT,1AL0,ASO,MARSHALL,AL,BOAZ,MARSHALL MEDICAL CENTER SOUTH,PR,PR,34.22042222,-86.16091944,35.0,Open,POINT(-86.16091944 34.22042222)
APT,00174.02*A,AIRPORT,8AL3,ASO,ETOWAH,AL,BOAZ,FRICKS FLD,PR,PR,34.14176667,-86.08856667,0.0,Open,POINT(-86.08856667 34.14176667)
APT,00180.*A,AIRPORT,3AL6,ASO,ST CLAIR,AL,ODENVILLE,TOWN & COUNTRY AIRPARK,PR,PR,33.65677778,-86.41247222,730.0,Open,POINT(-86.41247222 33.65677778)
APT,00183.0*A,AIRPORT,AL30,ASO,CULLMAN,AL,BREMEN,ROCKY SPRINGS AIRPARK,PR,PR,33.99083333,-87.07777778,649.0,Open,POINT(-87.07777778 33.99083333)
APT,00186.*A,AIRPORT,12J,ASO,ESCAMBIA,AL,BREWTON,BREWTON MUNI,PU,PU,31.05071139,-87.06726667,98.8,Open,POINT(-87.06726667 31.05071139)
APT,00186.01*H,HELIPORT,0AL6,ASO,ESCAMBIA,AL,BREWTON,D W MCMILLIAN MEML HOSPITAL,PU,PR,31.12566944,-87.07346944,155.0,Open,POINT(-87.07346944 31.12566944)
APT,00189.*H,HELIPORT,10AL,ASO,JACKSON,AL,BRIDGEPORT,NORTH JACKSON NURSING HOME,PR,PR,34.91384167,-85.77086111,650.0,Open,POINT(-85.77086111 34.91384167)
APT,00199.003*H,HELIPORT,42AL,ASO,CHOCTAW,AL,BUTLER,CHOCTAW GENERAL HOSPITAL,PR,PR,32.09348333,-88.21019167,133.0,Open,POINT(-88.21019167 32.09348333)
APT,00199.1*A,AIRPORT,09A,ASO,CHOCTAW,AL,BUTLER,BUTLER-CHOCTAW COUNTY,PU,PU,32.11930556,-88.12747222,133.7,Open,POINT(-88.12747222 32.11930556)
APT,00207.1*A,AIRPORT,61A,ASO,WILCOX,AL,CAMDEN,CAMDEN MUNI,PU,PU,31.97975,-87.33911111,142.9,Open,POINT(-87.33911111 31.97975)
APT,00209.16*H,HELIPORT,AL01,ASO,PICKENS,AL,CARROLLTON,PICKENS COUNTY MEDICAL CENTER,PR,PR,33.27420833,-88.08933333,239.0,Open,POINT(-88.08933333 33.27420833)
APT,00210.*A,AIRPORT,AL32,ASO,CHEROKEE,AL,CEDAR BLUFF,FLYING BK RANCH,PR,PR,34.32258889,-85.64371389,670.0,Open,POINT(-85.64371389 34.32258889)
APT,00218.11*A,AIRPORT,AL27,ASO,CHEROKEE,AL,CENTRE,HEADQUARTERS,PR,PR,34.10565278,-85.56579389,610.0,Open,POINT(-85.56579389 34.10565278)
APT,00218.12*A,AIRPORT,PYP,ASO,CHEROKEE,AL,CENTRE,CENTRE-PIEDMONT-CHEROKEE COUNTY RGNL,PU,PU,34.08991667,-85.61008333,594.6,Open,POINT(-85.61008333 34.08991667)
APT,00218.7*A,AIRPORT,0A8,ASO,BIBB,AL,CENTREVILLE,BIBB COUNTY,PU,PU,32.93693889,-87.09054722,250.9,Open,POINT(-87.09054722 32.93693889)
APT,00225.*A,AIRPORT,5AL1,ASO,BUTLER,AL,CHAPMAN,MC GOWIN FLD,PR,PR,31.68071278,-86.68191694,400.0,Closed Indefinitely,POINT(-86.68191694 31.68071278)
APT,00226.5*A,AIRPORT,5R1,ASO,WASHINGTON,AL,CHATOM,ROY WILCOX,PU,PU,31.45166689,-88.19442664,166.0,Open,POINT(-88.19442664 31.45166689)
APT,00226.51*A,AIRPORT,6AL6,ASO,WASHINGTON,AL,CHATOM,HAWTHORN PINES,PR,PR,31.38858333,-88.09258333,150.0,Open,POINT(-88.09258333 31.38858333)
APT,00227.22*H,HELIPORT,7AL6,ASO,TALLADEGA,AL,CHILDERSBURG,RESOLUTE FOREST PRODUCTS,PR,PR,33.32243333,-86.35788056,417.0,Open,POINT(-86.35788056 33.32243333)
APT,00228.*H,HELIPORT,35AL,ASO,MOBILE,AL,CITRONELLE,SILCOX MEML,PR,PR,31.08959722,-88.24507222,339.0,Open,POINT(-88.24507222 31.08959722)
APT,00233.*A,AIRPORT,02A,ASO,CHILTON,AL,CLANTON,CHILTON COUNTY,PU,PU,32.85048447,-86.61143247,584.7,Open,POINT(-86.61143247 32.85048447)
APT,00233.1*A,AIRPORT,01AL,ASO,CHILTON,AL,CLANTON,WARE ISLAND,PR,PR,32.94595611,-86.51386833,344.0,Open,POINT(-86.51386833 32.94595611)
APT,00233.13*H,HELIPORT,8AL0,ASO,CHILTON,AL,CLANTON,MITCHELL DAM,PR,PR,32.8005,-86.4465,442.0,Open,POINT(-86.4465 32.8005)
APT,00233.2*H,HELIPORT,5AL4,ASO,CHILTON,AL,CLANTON,CHILTON COUNTY HEALTH CARE AUTHORITY,PR,PR,32.88083333,-86.62194444,683.0,Open,POINT(-86.62194444 32.88083333)
APT,00234.*A,AIRPORT,11A,ASO,BARBOUR,AL,CLAYTON,CLAYTON MUNI,PU,PU,31.88333333,-85.48522222,434.9,Open,POINT(-85.48522222 31.88333333)
APT,00237.5*H,HELIPORT,88AL,ASO,MOBILE,AL,CODEN,W&T OFFSHORE YELLOWHAMMER,PR,PR,30.40444444,-88.12579722,16.0,Open,POINT(-88.12579722 30.40444444)
APT,00241.*A,AIRPORT,1AL2,ASO,SHELBY,AL,COLUMBIANA,TRI-L ACRES AIRPARK,PR,PR,33.24715278,-86.59791667,580.0,Open,POINT(-86.59791667 33.24715278)
APT,00241.19*H,HELIPORT,91AL,ASO,SHELBY,AL,COLUMBIANA,SHELBY COUNTY SHERIFF'S OFFICE,PR,PR,33.18661944,-86.6268,593.0,Open,POINT(-86.6268 33.18661944)
APT,00244.7*H,HELIPORT,AL13,ASO,RUSSELL,AL,COTTONTON,WESTROCK - MAHRT MILL,PR,PR,32.17237444,-85.02881917,95.0,Open,POINT(-85.02881917 32.17237444)
APT,00245.*A,AIRPORT,9A4,ASO,LAWRENCE,AL,COURTLAND,COURTLAND,PU,PU,34.65815833,-87.34855806,588.0,Open,POINT(-87.34855806 34.65815833)
APT,00245.6*A,AIRPORT,AL51,ASO,RUSSELL,AL,CRAWFORD,FLYING C'S PLANTATION,PR,PR,32.41611111,-85.29916667,395.0,Open,POINT(-85.29916667 32.41611111)
APT,00246.*A,AIRPORT,15A,ASO,MOBILE,AL,CREOLA,MARK REYNOLDS/NORTH MOBILE COUNTY,PR,PU,30.90913889,-87.99633333,8.0,Open,POINT(-87.99633333 30.90913889)
APT,00248.3*A,AIRPORT,CMD,ASO,CULLMAN,AL,CULLMAN,CULLMAN RGNL-FOLSOM FLD,PU,PU,34.26869444,-86.85802778,969.2,Open,POINT(-86.85802778 34.26869444)
APT,00248.32*H,HELIPORT,3AL9,ASO,CULLMAN,AL,CULLMAN,CULLMAN RGNL MEDICAL CENTER,PR,PR,34.20198333,-86.8065,826.0,Open,POINT(-86.8065 34.20198333)
APT,00249.*H,HELIPORT,5AL6,ASO,TALLAPOOSA,AL,DADEVILLE,LAKE MARTIN COMMUNITY HOSPITAL,PR,PR,32.81849167,-85.74151111,668.0,Open,POINT(-85.74151111 32.81849167)
APT,00249.4*H,HELIPORT,30AL,ASO,MORGAN,AL,DANVILLE,MED FLIGHT 2,PR,PR,34.373,-87.0805,650.0,Open,POINT(-87.0805 34.373)
APT,00250.1*A,AIRPORT,4R9,ASO,MOBILE,AL,DAUPHIN ISLAND,JEREMIAH DENTON,PU,PU,30.26049167,-88.12747222,5.3,Open,POINT(-88.12747222 30.26049167)
APT,00250.13*H,HELIPORT,6AL8,ASO,BALDWIN,AL,DAPHNE,MALBIS MED PARK-INFIRMARY HEALTH,PR,PR,30.65463611,-87.85425278,195.0,Open,POINT(-87.85425278 30.65463611)
APT,00250.2*A,AIRPORT,4AL3,ASO,BALDWIN,AL,DAPHNE,TREEO,PR,PR,30.59180556,-87.82258333,130.0,Open,POINT(-87.82258333 30.59180556)
APT,00251.*A,AIRPORT,DCU,ASO,LIMESTONE,AL,DECATUR,PRYOR FLD RGNL,PU,PU,34.65405556,-86.94536111,592.0,Open,POINT(-86.94536111 34.65405556)
APT,00251.02*H,HELIPORT,1AL1,ASO,MORGAN,AL,DECATUR,DECATUR GENERAL HOSPITAL,PU,PR,34.59209722,-86.972125,588.0,Open,POINT(-86.972125 34.59209722)
APT,00254.*A,AIRPORT,DYA,ASO,MARENGO,AL,DEMOPOLIS,DEMOPOLIS RGNL,PU,PU,32.46383333,-87.95405556,111.7,Open,POINT(-87.95405556 32.46383333)
APT,00254.01*H,HELIPORT,AL14,ASO,MARENGO,AL,DEMOPOLIS,WHITFIELD RGNL HOSPITAL,PU,PR,32.50555556,-87.83638889,154.0,Open,POINT(-87.83638889 32.50555556)
APT,00266.21*H,HELIPORT,AL20,ASO,HOUSTON,AL,DOTHAN,SOUTHEAST ALABAMA MEDICAL CENTER,PU,PR,31.21810278,-85.36745556,314.0,Open,POINT(-85.36745556 31.21810278)
APT,00266.22*H,HELIPORT,AL59,ASO,HOUSTON,AL,DOTHAN,FLOWERS HOSPITAL,PR,PR,31.23736667,-85.45478333,305.0,Open,POINT(-85.45478333 31.23736667)
APT,00267.*A,AIRPORT,DHN,ASO,DALE,AL,DOTHAN,DOTHAN RGNL,PU,PU,31.32102778,-85.44947222,400.8,Open,POINT(-85.44947222 31.32102778)
APT,00267.04*H,HELIPORT,1AL9,ASO,BALDWIN,AL,ELBERTA,BARBER MARINA,PR,PR,30.31545,-87.57237778,14.0,Open,POINT(-87.57237778 30.31545)
APT,00267.2*A,AIRPORT,3M2,ASO,WINSTON,AL,DOUBLE SPRINGS,DOUBLE SPRINGS/WINSTON COUNTY,PU,PU,34.14422097,-87.32781403,753.6,Open,POINT(-87.32781403 34.14422097)
APT,00267.6*A,AIRPORT,14J,ASO,COFFEE,AL,ELBA,CARL FOLSOM,PU,PU,31.41004167,-86.09033611,258.0,Open,POINT(-86.09033611 31.41004167)
APT,00267.7*A,AIRPORT,7AL9,ASO,BALDWIN,AL,ELBERTA,HORAK,PR,PR,30.46922778,-87.54391111,110.0,Open,POINT(-87.54391111 30.46922778)
APT,00267.81*A,AIRPORT,AL08,ASO,BALDWIN,AL,ELBERTA,PERDIDO WINDS AIRPARK,PR,PR,30.42500833,-87.53670556,75.0,Open,POINT(-87.53670556 30.42500833)
APT,00269.*A,AIRPORT,AL55,ASO,BALDWIN,AL,ELBERTA,SHIELDS,PR,PR,30.44186389,-87.46386833,95.0,Open,POINT(-87.46386833 30.44186389)
APT,00287.1*A,AIRPORT,EDN,ASO,COFFEE,AL,ENTERPRISE,ENTERPRISE MUNI,PU,PU,31.29972222,-85.89983333,360.9,Open,POINT(-85.89983333 31.29972222)
APT,00290.*A,AIRPORT,EUF,ASO,BARBOUR,AL,EUFAULA,WEEDON FLD,PU,PU,31.95130556,-85.12891667,285.2,Open,POINT(-85.12891667 31.95130556)
APT,00290.08*H,HELIPORT,AL00,ASO,BARBOUR,AL,EUFAULA,MEDICAL CENTER BARBOUR,PR,PR,31.88945278,-85.15621667,299.0,Open,POINT(-85.15621667 31.88945278)
APT,00293.*A,AIRPORT,3A7,ASO,GREENE,AL,EUTAW,EUTAW MUNI,PU,PU,32.82041667,-87.86508333,170.0,Closed Indefinitely,POINT(-87.86508333 32.82041667)
APT,00296.*A,AIRPORT,GZH,ASO,CONECUH,AL,EVERGREEN,EVERGREEN RGNL/MIDDLETON FLD,PU,PU,31.415,-87.04336111,259.0,Open,POINT(-87.04336111 31.415)
APT,00296.01*H,HELIPORT,0AL3,ASO,CONECUH,AL,EVERGREEN,HOSPITAL PAD,PR,PR,31.4301,-86.94021667,295.0,Open,POINT(-86.94021667 31.4301)
APT,00300.3*A,AIRPORT,CQF,ASO,BALDWIN,AL,FAIRHOPE,H L SONNY CALLAHAN,PU,PU,30.4605,-87.87702778,91.1,Open,POINT(-87.87702778 30.4605)
APT,00302.*A,AIRPORT,M95,ASO,FAYETTE,AL,FAYETTE,RICHARD ARTHUR FLD,PU,PU,33.70910583,-87.81520861,357.4,Open,POINT(-87.81520861 33.70910583)
APT,00302.01*H,HELIPORT,3AL0,ASO,FAYETTE,AL,FAYETTE,FAYETTE MEDICAL CENTER,PR,PR,33.70916667,-87.82361111,370.0,Open,POINT(-87.82361111 33.70916667)
APT,00305.*A,AIRPORT,4AL7,ASO,JACKSON,AL,FLAT ROCK,LEON'S LANDING,PR,PR,34.74472222,-85.68983333,430.0,Open,POINT(-85.68983333 34.74472222)
APT,00305.01*H,HELIPORT,43AL,ASO,JACKSON,AL,FLAT ROCK,FLAT ROCK COMMUNITY CLUB,PR,PR,34.76891944,-85.69620556,289.0,Open,POINT(-85.69620556 34.76891944)
APT,00306.*A,AIRPORT,0AL5,ASO,ESCAMBIA,AL,FLOMATON,FLOMATON,PR,PR,31.03222222,-87.25277778,247.0,Open,POINT(-87.25277778 31.03222222)
APT,00308.1*H,HELIPORT,7AL8,ASO,COVINGTON,AL,FLORALA,FORLALA HOSPITAL HELIPAD,PR,PR,31.00091111,-86.31365556,324.0,Open,POINT(-86.31365556 31.00091111)
APT,00308.5*A,AIRPORT,0J4,ASO,COVINGTON,AL,FLORALA,FLORALA MUNI,PU,PU,31.04247361,-86.31156111,314.3,Open,POINT(-86.31156111 31.04247361)
APT,00310.*C,SEAPLANE BASE,AL46,ASO,LAUDERDALE,AL,FLORENCE,SHOALS CREEK,PR,PR,34.902585,-87.58724778,510.0,Open,POINT(-87.58724778 34.902585)
APT,00310.1*A,AIRPORT,0AL9,ASO,LAUDERDALE,AL,FLORENCE,WILSON CREEK,PR,PR,34.85,-87.6325,590.0,Open,POINT(-87.6325 34.85)
APT,00310.14*H,HELIPORT,40AL,ASO,LAUDERDALE,AL,FLORENCE,NORTH ALABAMA MEDICAL CENTER,PR,PR,34.805125,-87.65281944,526.0,Open,POINT(-87.65281944 34.805125)
APT,00323.*A,AIRPORT,0AL1,ASO,BALDWIN,AL,FOLEY,RESORT,PR,PR,30.44388889,-87.65694444,97.0,Open,POINT(-87.65694444 30.44388889)
APT,00323.23*A,AIRPORT,02AL,ASO,BALDWIN,AL,FOLEY,BASS FLD,PR,PR,30.37146389,-87.76444444,61.0,Open,POINT(-87.76444444 30.37146389)
APT,00323.24*H,HELIPORT,3AL4,ASO,BALDWIN,AL,FOLEY,FOLEY HOSPITAL,PR,PR,30.42666944,-87.68511389,85.0,Open,POINT(-87.68511389 30.42666944)
APT,00323.3*A,AIRPORT,5R4,ASO,BALDWIN,AL,FOLEY,FOLEY MUNI,PU,PU,30.42766667,-87.70097222,74.3,Open,POINT(-87.70097222 30.42766667)
APT,00323.4*A,AIRPORT,NBJ,ASO,BALDWIN,AL,FOLEY,BARIN NOLF,MN,PR,30.39031386,-87.63156008,50.8,Open,POINT(-87.63156008 30.39031386)
APT,00324.07*H,HELIPORT,9AL5,ASO,GREENE,AL,FORKLAND,GREENE COUNTY STEAM PLANT,PR,PR,32.60131389,-87.78350556,107.0,Open,POINT(-87.78350556 32.60131389)
APT,00326.*A,AIRPORT,67A,ASO,LOWNDES,AL,FORT DEPOSIT,FORT DEPOSIT-LOWNDES COUNTY,PU,PU,31.97237083,-86.59164139,490.0,Closed Indefinitely,POINT(-86.59164139 31.97237083)
APT,00328.*A,AIRPORT,2AL5,ASO,DE KALB,AL,FORT PAYNE,FLYING J RANCH,PR,PR,34.39277778,-85.665,430.0,Open,POINT(-85.665 34.39277778)
APT,00328.1*A,AIRPORT,4A9,ASO,DE KALB,AL,FORT PAYNE,ISBELL FLD,PU,PU,34.47369444,-85.72138889,876.7,Open,POINT(-85.72138889 34.47369444)
APT,00328.11*H,HELIPORT,0AL4,ASO,DE KALB,AL,FORT PAYNE,DEKALB RGNL MEDICAL CENTER,PR,PR,34.44220278,-85.75581944,810.0,Open,POINT(-85.75581944 34.44220278)
APT,00329.*A,AIRPORT,OZR,ASO,DALE,AL,FORT RUCKER/OZARK,CAIRNS AAF (FORT RUCKER),MR,PR,31.275775,-85.71335,301.0,Open,POINT(-85.71335 31.275775)
APT,00329.01*H,HELIPORT,HEY,ASO,DALE,AL,FORT RUCKER OZARK,HANCHEY AHP (FORT RUCKER),MR,PR,31.35573417,-85.65186306,317.9,Open,POINT(-85.65186306 31.35573417)
APT,00329.03*H,HELIPORT,LOR,ASO,DALE,AL,FORT RUCKER OZARK,LOWE AHP (FORT RUCKER),MR,PR,31.35583333,-85.75116667,294.3,Open,POINT(-85.75116667 31.35583333)
APT,00329.06*H,HELIPORT,FHK,ASO,DALE,AL,FORT RUCKER/OZARK,KNOX AHP,MR,PR,31.31683833,-85.66660194,225.0,Open,POINT(-85.66660194 31.31683833)
APT,00329.07*H,HELIPORT,SXS,ASO,DALE,AL,FORT RUCKER,SHELL AHP,MR,PR,31.36266944,-85.84938333,400.0,Open,POINT(-85.84938333 31.36266944)
APT,00329.08*H,HELIPORT,24AL,ASO,HOUSTON,AL,FORT RUCKER/DOTHAN,TOTH STAGEFIELD AHP,MR,PR,31.22570833,-85.56159444,318.0,Open,POINT(-85.56159444 31.22570833)
APT,00329.09*H,HELIPORT,25AL,ASO,COFFEE,AL,FORT RUCKER/GOODMAN,LUCAS AHP,MR,PR,31.269875,-86.04093889,336.0,Open,POINT(-86.04093889 31.269875)
APT,00329.1*H,HELIPORT,05AL,ASO,HOUSTON,AL,FORT RUCKER/WICKSBURG,ALLEN STAGEFIELD AHP,MR,PR,31.231175,-85.64970278,365.0,Open,POINT(-85.64970278 31.231175)
APT,00329.11*H,HELIPORT,06AL,ASO,COFFEE,AL,FORT RUCKER/NEW BROCKTON,BROWN STAGEFIELD AHP,MR,PR,31.38843889,-85.972425,415.0,Open,POINT(-85.972425 31.38843889)
APT,00329.12*H,HELIPORT,11AL,ASO,DALE,AL,FORT RUCKER/OZARK,ECH STAGEFIELD AHP,MR,PR,31.39369444,-85.7515,268.0,Open,POINT(-85.7515 31.39369444)
APT,00329.13*H,HELIPORT,12AL,ASO,DALE,AL,FORT RUCKER/KIRKLANDS CROSSROADS,GOLDBERG STAGEFIELD AHP,MR,PR,31.41397778,-85.45985,362.0,Open,POINT(-85.45985 31.41397778)
APT,00329.14*H,HELIPORT,13AL,ASO,DALE,AL,FORT RUCKER/OZARK,HATCH AHP,MR,PR,31.35897222,-85.62054444,225.0,Open,POINT(-85.62054444 31.35897222)
APT,00329.15*H,HELIPORT,14AL,ASO,GENEVA,AL,FORT RUCKER/HARTFORD,HIGHBLUFF AHP,MR,PR,31.15353889,-85.73368056,270.0,Open,POINT(-85.73368056 31.15353889)
APT,00329.16*H,HELIPORT,15AL,ASO,GENEVA,AL,FORT RUCKER/HARTFORD,HIGHFALLS STAGEFIELD AHP,MR,PR,31.09361111,-85.78794444,220.0,Open,POINT(-85.78794444 31.09361111)
APT,00329.17*H,HELIPORT,16AL,ASO,DALE,AL,FORT RUCKER/OZARK,HOOPER STAGEFIELD AHP,MR,PR,31.40841111,-85.68924444,365.0,Open,POINT(-85.68924444 31.40841111)
APT,00329.18*H,HELIPORT,17AL,ASO,DALE,AL,FORT RUCKER/NEWTON,HUNT AHP,MR,PR,31.38018611,-85.580275,263.0,Open,POINT(-85.580275 31.38018611)
APT,00329.2*H,HELIPORT,19AL,ASO,DALE,AL,FORT RUCKER/OZARK,MOLINELLI STAGEFIELD AHP,MR,PR,31.48243056,-85.78506389,490.0,Open,POINT(-85.78506389 31.48243056)
