Abbrev,Description,Usages
B,blue,GEN
BA,braking action,GEN
BAC,below all clouds,ATC
BACLIN,baroclinic or baroclinic prognosis,NWS
BAFVC,bids accepted for the following vacancies,GEN
BAL,balance,GEN
BASE,cloud base,GEN
BASOPS,Base Operations Office,GEN
BATROP,barotropic or barotropic prognosis,NWS
BC,back course,GEN
BCFG,fog patches,NWS
BCH,beach,NWS
BCKG,backing,NWS
BCM,back course marker,GEN
BCN,beacon,GEN
BCREQ,broadcast requested,ATC
BCST,broadcast,GEN
BCSTN,broadcast station,GEN
BDA,Bermuda,NWS
BDAT,beacon data (digitized),ATC
BDR,border,GEN
BDRY,boundary,ATC
BDSLD,bids solicited,GEN
BECMG,becoming (expected between 2 digit beginning hour and 2 digit ending hour),TAF
BFDK,before dark,NWS
BFR,before,GEN
BGN,began or begin,GEN
BGND,begin or beginning descent,ATC
BHND,behind,GEN
BIFR,before encountering IFR conditions,ATC
BINOVC,breaks in overcast,NWS
BKN,broken,METAR
BL,blowing,METAR
BLD,build,NWS
BLDG,building,ICAO
BLDU,blowing dust,METAR
BLDUP,buildup,NWS
BLKHLS,Black Hills,NWS
BLKT,blanket,NWS
BLN,balloon,GEN
BLO,below clouds,ICAO
BLO,below,GEN
BLSA,blowing sand,METAR
BLSN,blowing snow,METAR
BLW,below,ICAO
BLX,block,ATC
BLZD,blizzard,NWS
BMBR,bomber,GEN
BMS,basic meteorological services,NWS
BND,bound,GEN
BNDRY,boundary,NWS
BNTH,beneath,GEN
BOMB,bombing,GEN
BOVC,base of overcast,NWS
BPOC,before proceeding on course,ATC
BPS,bytes per second,GEN
BPT,beginning procedure turn,ATC
BR,Bahama Route,ATC
BR,branch,GEN
BR,mist,METAR
BRAF,braking action fair,GEN
BRAG,braking action good,GEN
BRAN,braking action nil,GEN
BRAP,braking action poor,GEN
BRF,brief,NWS
BRG,bearing,GEN
BRGT,bright,GEN
BRITE,bright radar indicator tower equipment,GEN
BRK,break,NWS
BRKG,braking,ICAO
BRKHIC,breaks in higher overcast,NWS
BRKSHR,Berkshire,NWS
BRM,barometer,NWS
BS,commercial broadcasting station,ICAO
BSAF,bids solicited as follows,GEN
BSC,bird sweep completed,ATC
BSHP,beginning standard holding procedure,ATC
BSIAP,beginning straight in approach,ATC
BSRAP,beginning standard range approach,ATC
BSRO,begin standard refuel orbit,ATC
BT,back taxiing,ATC
BTL,between layers,ICAO
BTN,between,GEN
BTR,better,GEN
BTWN,between,NWS
BUEC,backup emergency communication,GEN
BUIC,backup interceptor control,ATC
BUL,bulletin,GEN
BUR,bureau,GEN
BUS,business,GEN
BY,blowing spray (weather reports only),METAR
BYD,beyond,GEN
BZR,buzzer (radar),GEN
C,celsius,GEN
C/A,Coarse/Acquisition,ATC
CA,clear above (PIREP only),ATC
CAAS,Class A Airspace,ATC
CAC,contact approach control,ATC
CACT,civil air carrier turbojet,GEN
CADO,"Chief, Airport District Office",GEN
CAM,Canadian Armed Forces Transport Command,GEN
CAN,Canada,NWS
CANFORCE,Canadian Armed Force,GEN
CANO,catalogue number,GEN
CANOT,Canadian NOTAM,GEN
CANR,Canadian NORAD Region,GEN
CAO,change of appointing office,GEN
CAP,Civil Air Patrol,GEN
CAP/IS,combined approach control/international station,GEN
CAPD,climb at pilot’s discretion,ATC
CAPT,captain,GEN
CARA,check area airports,GEN
CARF,central altitude reservation function,GEN
CARIB,Caribbean,NWS
CARU,Canadian Airspace Reservation Unit,GEN
CAS,calibrated airspeed,ATC
CAS,collision avoidance system,GEN
CASCDS,cascades,NWS
CAT,category,GEN
CATX,climb and cross,ATC
CAUFN,caution advised until further notice,GEN
CAVOK,cloud and visibility OK,NWS
CAVU,clear or scattered clouds and visibility greater than ten miles,NWS
CAWS,common aviation weather subsystem,NWS
CB,cumulonimbus,NWS
CBAS,Class B airspace,ATC
CBMAM,cumulonimbus mamma,NWS
CBSA,Class B surface area,ATC
CC,carbon copy,GEN
CCA,continental control area,GEN
CCAS,Class C airspace,ATC
CCC,Regional Communications Control Center,GEN
CCD,City (or County) Civil Defense Director at____,GEN
CCFP,collaborative convective forecast product,ATC
CCLDS,clear of clouds,ATC
CCLKOB,counterclockwise orbit,ATC
CCLKWS,counterclockwise,NWS
CCRU,complete crew,GEN
CCRZ,climb and cruise,ATC
CCSA,Class C surface area,ATC
CCSL,standing lenticular cirrocumulus,NWS
CCTLR,chief controller,GEN
CCUS,cleared Customs,GEN
CD,clearance delivery,GEN
CDAS,Class D airspace,ATC
CDC,computer display channel,GEN
CDFNT,cold front,NWS
CDM,collaborative decision making,ATC
CDN,coordination,ICAO
CDO,communications duty officer,GEN
CDSA,Class D surface area,ATC
CE,communications equipment,GEN
CEAS,Class E airspace,ATC
CELNAV,celestial navigation,GEN
CENGR,civil engineer,GEN
CENPAC,Central North Pacific,ATC
Center,#VALUE!,GEN
CER,climb en route,ATC
CERAP,combined center/RAPCON,GEN
CERT,certificate,GEN
CERTIF,certification,GEN
CESA,Class E surface area,ATC
CF,change frequency to,ICAO
CFA,controlled firing area,ATC
CFAD,composite flight data processing,GEN
CFADC,Canadian Forces Air Defense Command,GEN
CFAP,cleared for approach,ATC
CFM,confirm,GEN
CFM,Confirm or I confirm,ICAO
CFN,confine,GEN
CFP,cold front passage,NWS
CFPL,carryover from previous log,ATC
CFR,Code of Federal Regulations,GEN
CFWSU,central flow weather service unit,GEN
CFY,clarify,GEN
CG,Coast Guard,GEN
CGAS,Class G airspace,ATC
CGAS,Coast Guard Air Station,GEN
CGL,circling guidance light,ICAO
CGLS,Coast Guard LORAN Station,GEN
CGSTN,congestion,GEN
CH,channel,ICAO
CHAP,chapter,GEN
CHARC,characteristic,GEN
CHC,chance,NWS
CHG,change,GEN
CHGO,changing over,ATC
CHM,chemicals,GEN
CHNL,channel,GEN
CHOK,check okay,GEN
CHOV,changeover,ATC
CHRG,charge,GEN
CHSPK,Chesapeake,NWS
CHTR,charter,GEN
CI,cirrus,NWS
CIC,controller in charge,GEN
CIDIN,common ICAO data interchange network,ICAO
CIFP,cancel IFR flight plan,ATC
CIFR,cancel IFR clearance previously given,ATC
CIFRR,Common IFR Room,GEN
CIG,ceiling,NWS
CINCNORAD,"Commander in Chief, North American Aerospace Defense Command",GEN
circuit,#VALUE!,ICAO
CIRNAV,circumnavigate,ATC
CIRNOT,circuit notice,GEN
CIRVIS,communications instructions for reporting vital intelligence sightings,ATC
CIT,near or over large towns,ICAO
CIV,civil,ICAO
CK,check,ICAO
CKT,circuit,GEN
CL,centre line,ICAO
CL,closing station,GEN
CL,course line,ATC
CLA,clear type of ice formation,ICAO
CLB,climb,ATC
CLBI,climb immediately,ATC
CLBN,crash locator beacon,GEN
CLBR,calibration,GEN
CLD,cloud,NWS
CLG,calling,ICAO
CLKOB,clockwise orbit,ATC
CLKWS,clockwise,GEN
CLN,colon,GEN
CLNC,clearance,GEN
CLODA,closing date,GEN
CLOTO,close this office,GEN
CLR,clear,NWS
CLRAP,cleared as planned,ATC
CLRS,clear and smooth,NWS
CLSD,closed,GEN
CLST,celestial,ATC
CLU,circuit line up,GEN
CM,centimeter,ICAO
CMA,comma,GEN
CMB,climb to or climbing to,ICAO
CMNC,commence,GEN
CMPCT,compact,GEN
CMPL,complete or completed or completion,ICAO
CMPLT,complete,GEN
CMPLX,complex,GEN
CMPSN,composition,GEN
CMPT,component,GEN
CMS,construction maintenance supervisor,GEN
CMSN,commission,GEN
CNCL,cancel,NWS
CNCNT,concurrently,GEN
CNCT,connect,GEN
CNDN,Canadian,NWS
CNL,cancel,GEN
CNLFP,cancel flight plan,ATC
CNS,"communications, navigation and surveillance",ICAO
CNS,Consolidated NOTAM System,ATC
CNSTNT,consistent,GEN
CNTR,center,GEN
CNTRL,central,GEN
CNTRLN,centerline,GEN
CNVG,converge,GEN
CNVRT,convert,GEN
CNVSN,conversion,GEN
CNVTV,convective,NWS
CO,company,GEN
CO,county,GEN
COB,close of business,GEN
COC,climb on course,ATC
COLL,collect,GEN
COM,communication,GEN
COMB,combine,GEN
COML,commercial,GEN
COMLO,compass locator,GEN
COMPR,compare,GEN
COMPRT,compartment,GEN
CONC,concrete,GEN
CONCA,continue calling until,ATC
COND,condition,GEN
CONF,confidential,GEN
CONFDC,confidence,NWS
CONFIG,configuration,ATC
CONFIGN,configuration,GEN
CONR,Continental NORAD Region,GEN
CONS,continues,ICAO
CONSO,CONSOLAN Facility,GEN
CONSOL,consol beacon,GEN
CONSOLAN,low or medium frequency long range navigational aid,GEN
CONST,construction,GEN
CONT,continue or continuously,GEN
CONTDVD,Continental Divide,NWS
CONTH,continue to hold,ATC
CONTR,contract,GEN
,,
,,
CONTRAILS,condensation trails,NWS
control,line,ATC
COORD,coordinate,GEN
COORD,Coordinates,ICAO
COP,changeover point,GEN
COPCOM,Controllers’ Operations and Procedures Committee,GEN
COPT,completed procedure turn,ATC
COR,correct or corrected or correction,GEN
CORAS,corridor assignment,ATC
COREQ,confirming requisition follows,GEN
COT,at the coast,ICAO
COV,cover,ICAO
CP,circular polarization,GEN
CPA,crash phone activated,GEN
CPBL,capable,GEN
CPD,coupled,GEN
CPDLC,Controllerpilot data link communications,ICAO
CPF,complete power failure,GEN
CPL,current flight plan,ICAO
CPME,Calibration performance monitoring equipment,GEN
CPN,air transport pulse radar navigation aid,GEN
CPS,air transport pulse radar search,GEN
CPTY,capacity,GEN
CRAD,composite radar data processing,GEN
CRAF,civil reserve air fleet,GEN
CRC,circle,GEN
CRC,Cyclic redundancy check,ICAO
CRCHF,crew chief,GEN
CRLC,circulate,GEN
CRS,course,GEN
CRT,cathode ray tube,GEN
CRTFY,certify,GEN
CRYPTO,cryptographic,GEN
CRZ,cruise,ICAO
CRZAM,cruise and maintain,ATC
CRZWTR,cruise well to right,ATC
CS,Call sign,ICAO
CS,cirrostratus,NWS
CS/C,combined station/center,GEN
CS/T,combined station/tower,GEN
CSATR,climb so as to reach,ATC
CSATX,climb so as to cross,ATC
CSDR,consider,GEN
CSDRBL,considerable,GEN
CSLDT,consolidate,GEN
CST,coast,NWS
CTA,control area,ICAO
CTAF,common traffic advisory frequency,ATC
CTAM,climb to and maintain,ATC
CTAS,controlled airspace,ATC
CTAX,climb to and cross,ATC
CTC,contact,GEN
CTCC,change to center control or changing to center control,ATC
CTCC,contact center control,ATC
CTCEN,contact center,ATC
CTGY,category,NWS
CTL,control,GEN
CTLA,control area,GEN
CTLB,control boundary,GEN
CTLR,controller,GEN
CTLZ,control zone,GEN
CTN,caution,GEN
CTR,control zone,ICAO
CTRAC,common terminal radar approach control,GEN
CTSKLS,Catskills,NWS
CU,cumulus,NWS
CUF,cumuliform,ICAO
CUFRA,cumulus fractus,NWS
CUSNO,customs has been notified,GEN
CUST,customs,ICAO
CVFP,cancel VFR flight plan,ATC
CVINO,clearance void if not off,ATC
CVN,convene,GEN
CVR,Cockpit voice recorder,ICAO
CVR,cover,GEN
CVRS,computerized voice reservation system,ATC
CW,continuous wave,ICAO
CWM,change weight manifest,GEN
CWRC,climb well to right of course,ATC
CWSU,central weather service unit,GEN
CWTR,climb well to right,ATC
CWY,clearway,ICAO
CXA,cancel approved arrival,ATC
CXD,cancel approved departure,ATC
CYC,cyclonic,NWS
CYCLGN,cyclogenesis,NWS
CYL,cylinder,GEN
CZM,coastal zone management,GEN
D,danger area,ICAO
DA,decision altitude,ICAO
DA,departure approved,ATC
DAAR,deviation approved as requested,ATC
DABRK,daybreak,NWS
DAE,district airport engineer,GEN
DAIRE,direct altitude and identification readout equipment,GEN
DALGT,daylight,GEN
DAP,do all possible,GEN
DAPD,descend at pilot’s discretion,ATC
DASI,digital altimeter setting indicator,GEN
DATIS,Data link automatic terminal information service,ICAO
DB,decibel,GEN
DB,describe,GEN
DBA,doing business as,GEN
DBASI,digital barometer altimeter setting indicator,GEN
DBL,double,GEN
DBTF,doubtful,GEN
DC,direct current,GEN
DCA,Defense Communications Agency,GEN
DCAVU,"clear or scattered clouds and visibility greater than ten, remainder of report missing (weather reports only)",NWS
DCD,double channel duplex,ICAO
DCF,deputy chief,GEN
DCKG,docking,ICAO
DCLRT,decelerate,ATC
DCM,defense combat maneuvers,ATC
DCMSN,decommission,GEN
DCMT,document,GEN
DCPC,Direct controllerpilot communications,ICAO
DCR,decrease,GEN
DCRZ,descend to and cruise,ATC
DCS,defense communications system,GEN
DCS,double channel simplex,GEN
DCT,direct,ICAO
DDM,difference in depth of modulation,GEN
DE,From (used to precede the call sign of the calling station),ICAO
DECCO,Defense Commercial Communications Office,GEN
DEF,defense,GEN
DEFCON,Defense Readiness Conditions,GEN
DEG,degree,GEN
DELPHO,deliver by telephone,GEN
DEMOL,demolition,GEN
DENEB,fog dispersal operations,ICAO
DEP,depart,ATC
DEP,departure,GEN
DEPT,department,GEN
DES,descend to or descending to,ICAO
DESTN,destination,GEN
DETRESFA,Distress Phase Code (Alerting Service),ATC
DEV,deviation,ATC
DEW,distant early warning,GEN
DEWIZ,distant early warning identification zone,GEN
DF,direction finder,GEN
DFCLT,difficult,GEN
DFDR,Digital flight data recorder,ICAO
DFL,daily flight log,GEN
DFNT,definite,GEN
DFRS,differs,GEN
DFSTN,direction finding station,GEN
DFTI,distance from touchdown indicator,GEN
DFUS,diffuse,GEN
DGCGO,dangerous cargo,GEN
DGNL,diagonal,GEN
DGR,danger,GEN
DH,decision height,GEN
DI,delay indefinite,ATC
DIAM,diameter,GEN
DIF,diffuse,ICAO
DIR,director,GEN
DISABLD,disabled,GEN
DISC,discontinue,GEN
DISEM,disseminate,GEN
DIST,distance,ICAO
DIST,district,GEN
DISTR,distribute,GEN
DIV,divert,ICAO
DIV,division,GEN
DKTS,Dakotas,NWS
DLA,delay,GEN
DLAC,delay account of,ATC
DLAT,delay time,ATC
DLC,delay clearance or delayed clearance,ATC
DLIC,Data link initiation capability,ICAO
DLT,delete,GEN
DLVR,deliver,GEN
DLVY,delivery,GEN
DLY,daily,GEN
DLY,Daily,ICAO
